clip_id,participant_id,cohort,condition,repetition,pred_elbow,pred_asymmetry,pred_shoulder,pred_trunk,pred_head,elbow_sustained_deg,asymmetry_sustained_deg,shoulder_sustained,trunk_sustained_rad,head_sustained_deg,elbow_min_deg,asymmetry_max_deg,shoulder_max,trunk_max_rad,head_max_deg,n_frames,duration_ms,fps
P04_HED_rep5,P04,detection,HED,5,0,1,0,0,1,161.143,21.4633,0.0510185,0.045206,34.1161,158.353,21.5672,0.0524586,0.0544504,34.2374,52,1699,30.0
P04_SHR_rep1,P04,detection,SHR,1,0,0,1,0,0,168.78,4.52801,0.202497,0.0233335,1.49788,167.242,6.07144,0.21176,0.0268557,1.79604,35,1167,30.0
P04_SHR_rep2,P04,detection,SHR,2,0,0,1,0,0,170.278,4.12485,0.176861,0.0238529,1.17348,167.984,4.79711,0.190864,0.0259254,1.81398,33,1067,30.0
P04_SHR_rep3,P04,detection,SHR,3,0,0,1,0,0,168.56,2.26599,0.191079,0.0356338,1.76856,167.379,2.84708,0.195603,0.039703,2.43978,34,1100,30.0
P04_SHR_rep4,P04,detection,SHR,4,0,0,1,0,0,168.948,2.56566,0.188494,0.0347863,0.724268,166.814,4.29501,0.193664,0.03886,1.11915,34,1101,30.0
P04_SHR_rep5,P04,detection,SHR,5,0,0,1,0,0,168.744,3.15106,0.207667,0.044509,2.19164,167.985,4.34332,0.212622,0.0472362,3.0862,34,1100,30.0
P04_TRK_rep1,P04,detection,TRK,1,0,0,0,1,0,163.38,,0.029508,0.182386,,160.88,27.1018,0.0305117,0.18506,15.3567,34,1134,30.0
P04_TRK_rep2,P04,detection,TRK,2,0,0,0,1,0,161.143,,0.0202742,0.205271,,158.341,25.3296,0.023486,0.211513,17.5249,48,1566,30.0
P04_TRK_rep3,P04,detection,TRK,3,0,0,0,1,0,160.445,5.0656,0.0250919,0.180662,2.4157,156.627,30.0346,0.0349279,0.182592,16.9682,49,1600,30.0
P04_TRK_rep4,P04,detection,TRK,4,0,0,0,1,0,161.006,,0.0192706,0.209216,,156.725,27.4584,0.0228838,0.215808,17.3922,45,1466,30.0
P04_TRK_rep5,P04,detection,TRK,5,0,0,0,1,0,161.778,,0.00441617,0.247104,,160.332,29.1709,0.00662425,0.252562,19.0819,47,1532,30.0
P05_ASY_rep1,P05,detection,ASY,1,0,0,0,0,0,168.049,7.61716,0.116547,0.0229641,2.8547,165.887,16.9813,0.124841,0.027147,4.50342,30,966,30.0
P05_ASY_rep2,P05,detection,ASY,2,0,1,0,0,0,170.761,15.7061,0.112293,0.0312833,2.9281,169.669,34.0613,0.122502,0.0360454,3.15367,39,1267,30.0
P05_ASY_rep3,P05,detection,ASY,3,0,1,0,0,0,170.876,37.1893,0.110804,0.0189851,3.9059,168.802,50.5437,0.124416,0.0227368,4.38868,44,1433,30.0
P05_ASY_rep4,P05,detection,ASY,4,0,1,0,0,0,167.393,50.9535,0.0871974,0.0284928,3.48963,164.757,60.2932,0.0952791,0.0291402,3.66997,43,1400,30.0
